AnimeID,Title,Type,Episodes,Aired Start,Aired End,Members,Score
2086,NG Knight Ramune & 40 DX: Wakuwaku Jikuu - Honoo no Daisousasen,OVA,3,Jun 1993,Sep 1993,1711,6.46
1978,Onkyou Seimeitai Noiseman,Movie,1,Nov 1997,Nov 1997,11285,6.46
17467,Otoko Ippiki Gaki Daishou,TV,156,Sep 1969,Mar 1970,1632,6.46
29611,Pa-Pa-Pa the ★ Movie: Perman - Tako de Pon! Ashi wa Pon!,Movie,1,Mar 2004,Mar 2004,692,6.46
1035,Patalliro Saiyuuki!,TV,26,Jun 2005,Nov 2005,4633,6.46
163,Power Stone,TV,26,Apr 1999,Sep 1999,8741,6.46
32360,Qualidea Code,TV,12,Jul 2016,Sep 2016,197162,6.46
1854,Rockman Hoshi ni Negai wo,OVA,3,Sep 2002,Sep 2002,4652,6.46
2237,Rozen Maiden: Meitantei Kunkun - Duell Walzer,Special,1,Apr 2006,Apr 2006,18349,6.46
3806,Sasuga no Sarutobi,TV,69,Oct 1982,Mar 1984,2221,6.46
4173,Shigofumi Picture Drama,Special,7,Mar 2008,Sep 2008,4444,6.46
2031,Shining Tears X Wind,TV,13,Apr 2007,Jun 2007,35802,6.46
46381,Shinkansen Henkei Robo Shinkalion Z the Animation,TV,41,Apr 2021,Mar 2022,1617,6.46
9924,Shukufuku no Campanella: La Campanella Della Benedizione,OVA,1,Mar 2011,Mar 2011,6334,6.46
22335,Teekyuu 3 Specials,Special,2,Jan 2014,Jan 2014,9917,6.46
41307,Tokyo 7th Sisters: Bokura wa Aozora ni Naru,Movie,1,Feb 2021,Feb 2021,3764,6.46
8109,Tottoko Hamtarou Movie 4: Hamtarou to Fushigi no Oni no Emon Tou,Movie,1,Dec 2004,Dec 2004,2095,6.46
54851,Yakitori,ONA,6,May 2023,May 2023,4465,6.46
42885,Zoids Wild Senki,ONA,6,Oct 2020,Mar 2021,800,6.46
3800,Arrow Emblem Grand Prix no Taka,TV,44,Sep 1977,Aug 1978,2656,6.46
3874,Ashita e Free Kick,TV,52,Apr 1992,Apr 1993,2372,6.46
39760,Bai Niao Gu,Movie,1,Jun 2017,Jun 2017,1514,6.46
37036,Binan Koukou Chikyuu Bouei-bu Happy Kiss!,TV,12,Apr 2018,Jul 2018,13008,6.46
31573,Brave Beats,TV,22,Oct 2015,Mar 2016,5138,6.46
40960,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,TV,12,Jul 2021,Sep 2021,152208,6.46
17893,Cheonbangjichuk Hani,TV,13,N/A,N/A,529,6.46
12685,Code Geass: Hangyaku no Lelouch - Nunnally in Wonderland,OVA,1,Jul 2012,Jul 2012,73031,6.46
15547,Cross Fight B-Daman eS,TV,52,Oct 2012,Sep 2013,4042,6.46
660,Denshin Mamotte Shugogetten,OVA,8,Jun 2000,Nov 2001,4146,6.46
